School_ID,Network,Short_Name,the_geom,Address,Zip,Governance,Grade_Cat,Grades,Lat,Long,Phone,GeoNetwork,COMMAREA,WARD_15,ALD_15
400030,Charter,CICS - WEST BELDEN,POINT (-87.77674853946418 41.92168749461324),2245 N MCVICKER AVE,60639,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9216874954,-87.7767485395,1(773)637-9430,3,BELMONT CRAGIN,36,Nicholas Sposato
400031,Charter,CICS - WRIGHTWOOD,POINT (-87.69261439881286 41.74536544990311),8130 S CALIFORNIA AVE,60652,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.7453654507,-87.6926143988,1(773)434-4575,10,ASHBURN,18,Lona Lane
400032,Charter,CICS - ELLISON HS,POINT (-87.66897963900723 41.74838240757893),1817 W 80TH ST,60620,Charter,HS,"9, 10, 11, 12",41.7483824084,-87.668979639,1(773)478-4434,11,AUBURN GRESHAM,17,Latasha R. Thomas
400033,Charter,CICS - LONGWOOD,POINT (-87.65576813292576 41.72122143220191),1309 W 95TH ST,60643,Charter,HS,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12",41.721221433,-87.6557681329,1(773)238-5330,11,WASHINGTON HEIGHTS,21,"Howard B. Brookins, Jr."
400034,Charter,CICS - NORTHTOWN HS,POINT (-87.72650426434443 41.99024501132617),3900 W PETERSON AVE,60659,Charter,HS,"9, 10, 11, 12",41.9902450122,-87.7265042643,1(773)478-3655,1,NORTH PARK,39,Margaret Laurino
400035,Charter,CHICAGO MATH & SCIENCE HS,POINT (-87.67481841837879 42.013031488980566),7212 N CLARK ST,60626,Charter,HS,"6, 7, 8, 9, 10, 11, 12",42.0130314898,-87.6748184184,1(773)761-8960,2,ROGERS PARK,49,Joe A. Moore
400036,Charter,CHICAGO VIRTUAL,POINT (-87.64977248488317 41.88055011182431),38 S PEORIA ST,60607,Charter,HS,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",41.8805501126,-87.6497724849,1(312)267-4486,6,NEAR WEST SIDE,25,Daniel S. Solis
400039,Charter,ERIE,POINT (-87.69436444522483 41.90677063476995),1405 N WASHTENAW AVE,60622,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9067706356,-87.6943644452,1(773)486-7161,5,WEST TOWN,1,Proco (Joe) Moreno III
400040,Charter,FRAZIER CHARTER,POINT (-87.71764197634056 41.86207686324782),3711 W DOUGLAS BLVD,60624,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8620768641,-87.7176419763,1(773)534-6776,5,NORTH LAWNDALE,24,Michael D. Chandler
400043,Contract,HOPE INSTITUTE,POINT (-87.66807694563214 41.883362026191705),1628 W WASHINGTON,60612,Contract,ES,"K, 1, 2, 3, 4, 5",41.883362027,-87.6680769456,1(773)534-7405,6,NEAR WEST SIDE,27,"Walter Burnett, Jr."
400044,Charter,KIPP - ASCEND,POINT (-87.7210706465121 41.858369743196675),1616 S AVERS AVE,60623,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.858369744,-87.7210706465,1(773)521-4766,5,NORTH LAWNDALE,24,Michael D. Chandler
400045,Charter,NKRUMAH,POINT (-87.63105814858851 41.69804048805754),314 W 108TH ST,60628,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.6980404888,-87.6310581486,1(773)568-8000,13,ROSELAND,34,Carrie M. Austin
400046,Charter,LEARN - BUTLER,POINT (-87.7106794800759 41.867272713849566),1132 S HOMAN AVE,60624,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8672727147,-87.7106794801,1(773)826-6330,5,NORTH LAWNDALE,24,Michael D. Chandler
400047,Charter,LEARN - CAMPBELL,POINT (-87.69873871980407 41.87786063109123),212 S FRANCISCO AVE,60612,Charter,ES,"K, 1, 2, 3, 4, 5",41.8778606319,-87.6987387198,1(773)826-0370,5,EAST GARFIELD PARK,27,"Walter Burnett, Jr."
400048,Charter,LEARN - EXCEL,POINT (-87.702070890427 41.887319914886554),3021 W CARROLL AVE,60612,Charter,ES,"K, 1, 2, 3, 4, 5",41.8873199157,-87.7020708904,1(312)243-7001,5,EAST GARFIELD PARK,27,"Walter Burnett, Jr."
400049,Charter,LEGACY,POINT (-87.708507681964 41.85696245124675),3318 W OGDEN AVE,60623,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8569624521,-87.708507682,1(773)542-1640,5,NORTH LAWNDALE,24,Michael D. Chandler
400050,Charter,NAMASTE,POINT (-87.66772404348096 41.825699759221585),3737 S PAULINA ST,60609,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.82569976,-87.6677240435,1(773)715-9558,8,MCKINLEY PARK,12,George A. Cardenas
400051,Charter,NOBLE - NOBLE HS,POINT (-87.6626277822452 41.90019052036328),1010 N NOBLE ST,60642,Charter,HS,"9, 10, 11, 12",41.9001905212,-87.6626277822,1(773)862-1449,6,WEST TOWN,2,Bob Fioretti
400052,Charter,NOBLE - COMER,POINT (-87.60416374545034 41.765252281014504),7131 SOUTH CHICAGO AVE,60619,Charter,HS,"6, 7, 8, 9, 10, 11, 12",41.7652522818,-87.6041637454,1(773)729-3969,12,GREATER GRAND CROSSING,5,Leslie A. Hairston
400053,Charter,NOBLE - GOLDER HS,POINT (-87.66448299829219 41.89528219322829),1454 W SUPERIOR ST,60642,Charter,HS,"9, 10, 11, 12",41.895282194,-87.6644829983,1(312)265-9925,6,WEST TOWN,27,"Walter Burnett, Jr."
400054,Charter,NOBLE - PRITZKER HS,POINT (-87.73012671473326 41.91521410632573),4131 W CORTLAND AVE,60639,Charter,HS,"9, 10, 11, 12",41.9152141071,-87.7301267147,1(773)394-2848,4,HERMOSA,35,Rey Colon
400055,Charter,NOBLE - RAUNER HS,POINT (-87.66085886981283 41.89242501199445),1337 W OHIO ST,60642,Charter,HS,"9, 10, 11, 12",41.8924250128,-87.6608588698,1(312)226-5345,6,WEST TOWN,1,Proco (Joe) Moreno III
400056,Charter,NOBLE - ROWE CLARK HS,POINT (-87.7180467676694 41.89536225829381),3645 W CHICAGO AVE,60651,Charter,HS,"9, 10, 11, 12",41.8953622591,-87.7180467677,1(773)242-2212,5,HUMBOLDT PARK,27,"Walter Burnett, Jr."
400057,Charter,NOBLE - UIC HS,POINT (-87.67611092980181 41.86581741283157),1231 S DAMEN AVE,60608,Charter,HS,"9, 10, 11, 12",41.8658174136,-87.6761109298,1(312)768-4858,6,NEAR WEST SIDE,28,Jason C. Ervin
400058,Charter,NORTH LAWNDALE - CHRISTIANA HS,POINT (-87.70898711117727 41.85856355339459),1615 S. CHRISTIANA AVE.,60623,Charter,HS,"9, 10, 11, 12",41.8585635542,-87.7089871112,1(773)542-1490,5,NORTH LAWNDALE,24,Michael D. Chandler
400059,Charter,NORTH LAWNDALE - COLLINS HS,POINT (-87.70068059996225 41.86414584238213),1313 S SACRAMENTO DR,60623,Charter,HS,"9, 10, 11, 12",41.8641458432,-87.7006806,1(773)542-6766,5,NORTH LAWNDALE,24,Michael D. Chandler
400060,Charter,AHS - PASSAGES,POINT (-87.67116041931102 41.98337143551791),1643 W BRYN MAWR AVE,60660,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9833714364,-87.6711604193,1(773)433-3530,2,EDGEWATER,40,Patrick O'Connor
400061,Charter,PERSPECTIVES - LEADERSHIP HS,POINT (-87.65204508844263 41.74596083113286),8131 S MAY ST,60620,Charter,HS,"6, 7, 8, 9, 10, 11, 12",41.7459608319,-87.6520450884,1(773)358-6100,11,AUBURN GRESHAM,21,"Howard B. Brookins, Jr."
400062,Charter,PERSPECTIVES - TECH HS,POINT (-87.6506570244465 41.745949018698816),8131 S MAY ST,60620,Charter,HS,"9, 10, 11, 12",41.7459490195,-87.6506570244,1(773)358-6120,11,AUBURN GRESHAM,21,"Howard B. Brookins, Jr."
400064,Charter,PERSPECTIVES - JOSLIN HS,POINT (-87.6285309007454 41.85599910441009),1930 S ARCHER AVE,60616,Charter,HS,"6, 7, 8, 9, 10, 11, 12",41.8559991052,-87.6285309007,1(312)225-7400,6,NEAR SOUTH SIDE,3,Patricia R. Dowell
400066,Charter,PERSPECTIVES - MATH & SCI HS,POINT (-87.62478771976076 41.827783856672056),3663 S WABASH AVE,60653,Charter,HS,"6, 7, 8, 9, 10, 11, 12",41.8277838575,-87.6247877198,1(773)358-6800,9,DOUGLAS,3,Patricia R. Dowell
400068,Contract,PLATO,POINT (-87.76333693234645 41.87276042775959),5545 W HARRISON ST,60644,Contract,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8727604286,-87.7633369323,1(773)413-3090 x111,3,AUSTIN,29,Chris Taliaferro
400069,Charter,POLARIS,POINT (-87.70779647483542 41.89255017313203),620 N SAWYER AVE,60624,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.892550174,-87.7077964748,1(773)534-0820,5,HUMBOLDT PARK,27,"Walter Burnett, Jr."
400071,Charter,PROVIDENCE ENGLEWOOD,POINT (-87.66399582959697 41.775367366876885),6515 S ASHLAND AVE,60636,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.7753673677,-87.6639958296,1(773)434-0202,11,WEST ENGLEWOOD,16,JoAnn Thompson
400075,Charter,U OF C - DONOGHUE,POINT (-87.6085007807937 41.82772608093774),707 E 37TH ST,60653,Charter,ES,"K, 1, 2, 3, 4, 5",41.8277260817,-87.6085007808,1(773)285-5301,9,OAKLAND,4,"William ""Will"" D. Burns"
400076,Charter,U OF C - NKO,POINT (-87.59878626839304 41.81118286651697),1119 E 46TH ST,60653,Charter,ES,"K, 1, 2, 3, 4, 5",41.8111828673,-87.5987862684,1(773)536-2399,9,KENWOOD,4,"William ""Will"" D. Burns"
400077,Charter,U OF C - WOODLAWN HS,POINT (-87.59811392290797 41.77812969852457),6420 S UNIVERSITY AVE,60637,Charter,HS,"6, 7, 8, 9, 10, 11, 12",41.7781296993,-87.5981139229,1(773)752-8101,9,WOODLAWN,20,Willie B. Cochran
400078,Charter,U OF C - WOODSON,POINT (-87.60842562240991 41.813547304108404),4444 S EVANS AVE,60653,Charter,ES,"7, 8",41.8135473049,-87.6084256224,1(773)624-0700,9,GRAND BOULEVARD,3,Patricia R. Dowell
400079,Charter,ACERO - ZIZUMBO,POINT (-87.73049511744672 41.81013478652209),4248 W 47TH ST,60632,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8101347873,-87.7304951174,1(773)579-3470,8,ARCHER HEIGHTS,14,Edward M. Burke
400080,Charter,ACERO - TORRES,POINT (-87.73045044341933 41.80819980605674),4248 W 47TH ST,60632,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8081998069,-87.7304504434,1(773)579-3475,8,ARCHER HEIGHTS,14,Edward M. Burke
400081,Charter,ACERO - DE LAS CASAS,POINT (-87.66794916955581 41.859504007501364),1641 W 16TH ST,60608,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8595040083,-87.6679491695,1(312)432-3224,7,LOWER WEST SIDE,25,Daniel S. Solis
400082,Charter,ACERO - FUENTES,POINT (-87.69959365144675 41.937475775108396),2845 W BARRY AVE,60618,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9374757759,-87.6995936514,1(773)279-9826,4,AVONDALE,33,Deborah Mell
400083,Charter,ACERO - PAZ,POINT (-87.69255089867096 41.85003541229726),2651 W 23RD ST,60608,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8500354131,-87.6925508987,1(773)890-1054,7,SOUTH LAWNDALE,24,Michael D. Chandler
400084,Charter,ACERO - TAMAYO,POINT (-87.69386163539056 41.799930185927614),5135 S CALIFORNIA AVE,60632,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.7999301867,-87.6938616354,1(773)434-6355,8,GAGE PARK,14,Edward M. Burke
400085,Charter,ACERO - GARCIA HS,POINT (-87.73046684945614 41.809170789228574),4248 W 47TH ST,60632,Charter,HS,"9, 10, 11, 12",41.80917079,-87.7304668494,1(773)579-3480,8,ARCHER HEIGHTS,14,Edward M. Burke
400086,Charter,URBAN PREP - ENGLEWOOD HS,POINT (-87.63435669192559 41.781497815831855),6201 S STEWART AVE,60621,Charter,HS,"9, 10, 11, 12",41.7814978166,-87.6343566919,1(773)535-9724,11,ENGLEWOOD,20,Willie B. Cochran
400087,Charter,YOUNG WOMENS HS,POINT (-87.61872379631045 41.84454380554294),2641 S CALUMET AVE,60616,Charter,HS,"9, 10, 11, 12",41.8445438064,-87.6187237963,1(312)949-9400,9,DOUGLAS,4,"William ""Will"" D. Burns"
400089,Charter,ACERO - MARQUEZ,POINT (-87.69739409699946 41.80830882382766),2916 W 47TH ST,60632,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8083088246,-87.697394097,1(773)321-2200,8,BRIGHTON PARK,15,Raymond Lopez
400091,Contract,CHICAGO TECH HS,POINT (-87.65909480292642 41.86330140822328),1301 W 14TH ST,60608,Contract,HS,"9, 10, 11, 12",41.863301409,-87.6590948029,1(773)534-7755,6,NEAR WEST SIDE,25,Daniel S. Solis
400092,Charter,CICS - BOND,POINT (-87.60503910190955 41.653663449416015),13300 S LANGLEY AVE,60827,Charter,ES,"K, 1, 2, 3, 4, 5, 6",41.6536634502,-87.6050391019,1(773)468-1300,13,RIVERDALE,9,Anthony A. Beale
400094,Charter,EPIC HS,POINT (-87.55022236950532 41.744849105595485),8255 S HOUSTON AVE,60617,Charter,HS,"9, 10, 11, 12",41.7448491064,-87.5502223695,1(773)535-7930,12,SOUTH CHICAGO,7,Gregory Mitchell
400096,Charter,ROWE,POINT (-87.66407246853345 41.90779717825756),1424 N CLEAVER ST,60642,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9077971791,-87.6640724685,1(312)445-5870,6,WEST TOWN,2,Bob Fioretti
400097,Charter,NOBLE - BULLS HS,POINT (-87.67819525963878 41.87880880794607),2040 W ADAMS ST,60612,Charter,HS,"9, 10, 11, 12",41.8788088088,-87.6781952596,1(773)534-7599,6,NEAR WEST SIDE,27,"Walter Burnett, Jr."
400098,Charter,NOBLE - MUCHIN HS,POINT (-87.62633828219971 41.88274025710012),1 N STATE ST,60602,Charter,HS,"9, 10, 11, 12",41.8827402579,-87.6263382822,1(312)445-4680,6,LOOP,42,Brendan M. Reilly
400101,Charter,ACERO - CISNEROS,POINT (-87.69399616198365 41.8228837404716),2744 W PERSHING RD,60632,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8228837413,-87.693996162,1(312)376-8830,8,BRIGHTON PARK,12,George A. Cardenas
400102,Charter,URBAN PREP - WEST HS,POINT (-87.66010654063662 41.86254001922581),1326 W 14TH PL,60608,Charter,HS,"9, 10, 11, 12",41.86254002,-87.6601065406,1(773)534-8860,6,NEAR WEST SIDE,25,Daniel S. Solis
400104,Charter,INSTITUTO - HEALTH,POINT (-87.6872401588268 41.84596658769947),2520 S WESTERN AVE,60608,Charter,HS,"9, 10, 11, 12",41.8459665885,-87.6872401588,1(773)890-8020,7,LOWER WEST SIDE,25,Daniel S. Solis
400105,Charter,URBAN PREP - BRONZEVILLE HS,POINT (-87.61362864698684 41.83111753084326),521 E 35TH ST,60616,Charter,HS,"9, 10, 11, 12",41.8311175317,-87.613628647,1(773)495-0870,9,DOUGLAS,4,"William ""Will"" D. Burns"
400106,Charter,NOBLE - JOHNSON HS,POINT (-87.63511669835238 41.77836949834166),6350 S STEWART AVE,60621,Charter,HS,"9, 10, 11, 12",41.7783694991,-87.6351166983,1(312)348-1888,11,ENGLEWOOD,20,Willie B. Cochran
400107,Charter,LEARN - SOUTH CHICAGO,POINT (-87.54557989281986 41.73333313284307),8914 S BUFFALO AVE,60617,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.7333331336,-87.5455798928,1(773)722-8577,12,SOUTH CHICAGO,10,Susie Sadlowski Garza
400111,Charter,LEARN - PERKINS,POINT (-87.66572105552245 41.74312176998597),1700 W 83RD ST,60620,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7",41.7431217708,-87.6657210555,1(773)722-0200,11,AUBURN GRESHAM,21,"Howard B. Brookins, Jr."
400112,Charter,ACERO - IDAR,POINT (-87.70879678421302 41.80104241336387),5050 S HOMAN AVE,60632,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8010424142,-87.7087967842,1(312)455-5450,8,GAGE PARK,14,Edward M. Burke
400113,Charter,CICS - CHICAGOQUEST HS,POINT (-87.6455614997251 41.90779679504793),1443 N OGDEN AVE,60610,Charter,HS,"9, 10, 11, 12",41.9077967959,-87.6455614997,1(773)565-2100,4,NEAR NORTH SIDE,27,"Walter Burnett, Jr."
400114,Charter,ACERO - SANTIAGO,POINT (-87.68989562476189 41.90034363442005),2510 W CORTEZ ST,60622,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9003436352,-87.6898956248,1(312)455-5410,5,WEST TOWN,1,Proco (Joe) Moreno III
400115,Charter,CATALYST - MARIA,POINT (-87.6930753226288 41.770991718211576),6727 S CALIFORNIA AVE,60629,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",41.770991719,-87.6930753226,1(773)993-1770,10,CHICAGO LAWN,17,Latasha R. Thomas
400116,Charter,MONTESSORI ENGLEWOOD,POINT (-87.6676390084211 41.7673901123986),6936 S HERMITAGE AVE,60636,Charter,ES,"K, 1, 2, 3, 4, 5",41.7673901132,-87.6676390084,1(773)306-1759,11,WEST ENGLEWOOD,17,Latasha R. Thomas
400117,Charter,NOBLE - HANSBERRY HS,POINT (-87.65098672782085 41.734441622545084),8748 S ABERDEEN ST,60620,Charter,HS,"9, 10, 11, 12",41.7344416233,-87.6509867278,1(773)729-3400,11,AUBURN GRESHAM,21,"Howard B. Brookins, Jr."
400118,Charter,NOBLE - DRW HS,POINT (-87.71165422586564 41.86932807646286),931 S HOMAN AVE,60624,Charter,HS,"9, 10, 11, 12",41.8693280773,-87.7116542259,1(773)893-4500,5,NORTH LAWNDALE,24,Michael D. Chandler
400119,Charter,LEGAL PREP HS,POINT (-87.73377838310492 41.88173275840047),4319 W WASHINGTON BLVD,60624,Charter,HS,"9, 10, 11, 12",41.8817327592,-87.7337783831,1(773)922-7800,5,WEST GARFIELD PARK,28,Jason C. Ervin
400120,Charter,ACERO - CLEMENTE,POINT (-87.78783043795977 41.917951679001526),2050 N NATCHEZ AVE,60707,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9179516798,-87.787830438,1(312)455-5425,3,BELMONT CRAGIN,29,Chris Taliaferro
400121,Charter,ACERO - DE LA CRUZ,POINT (-87.68440568153892 42.01647588165271),7416 N RIDGE BLVD,60645,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",42.0164758825,-87.6844056815,1(312)455-5440,2,WEST RIDGE,49,Joe A. Moore
400123,Options,YCCS - SCHOLASTIC ACHIEVEMENT,POINT (-87.74253889944762 41.880447187300774),4651 W MADISON ST,60644,Charter,HS,"10, 11, 12",41.8804471881,-87.7425388994,1(773)921-1315,3,AUSTIN,28,Jason C. Ervin
400124,Options,YCCS - MCKINLEY,POINT (-87.62533077011555 41.84133116704404),2920 S WABASH AVE,60616,Charter,HS,"10, 11, 12",41.8413311679,-87.6253307701,1(312)949-5010,9,DOUGLAS,3,Patricia R. Dowell
400125,Options,YCCS - ASPIRA PANTOJA,POINT (-87.72713735989637 41.93818660243103),3121 N PULASKI RD,60641,Charter,HS,"10, 11, 12",41.9381866033,-87.7271373599,1(773)252-0970,4,AVONDALE,30,Ariel E. Reboyras
400126,Options,YCCS - ASSOCIATION HOUSE,POINT (-87.70685988382161 41.9015724066718),1116 N KEDZIE AVE,60651,Charter,HS,"10, 11",41.9015724075,-87.7068598838,1(773)772-7170,5,HUMBOLDT PARK,26,Roberto Maldonado
400127,Options,YCCS - AUSTIN CAREER,POINT (-87.76022117562405 41.89497639068477),5352 W CHICAGO AVE,60651,Charter,HS,"10, 11, 12",41.8949763915,-87.7602211756,1(773)626-6988,3,AUSTIN,37,Emma M. Mitts
400128,Options,YCCS - CCA ACADEMY,POINT (-87.72366217143608 41.86494335189345),1231 S PULASKI RD,60623,Charter,HS,"10, 11, 12",41.8649433527,-87.7236621714,1(773)762-2272,5,NORTH LAWNDALE,24,Michael D. Chandler
400129,Options,YCCS - HOUSTON,POINT (-87.61584209881255 41.77416954786256),6620 S DR MARTIN LUTHER KING JR DR,60637,Charter,HS,"10, 11, 12",41.7741695487,-87.6158420988,1(773)723-9631,9,GREATER GRAND CROSSING,20,Willie B. Cochran
400130,Options,YCCS - YOUTH DEVELOPMENT,POINT (-87.64173118629225 41.751377111833904),7836 S UNION AVE,60620,Charter,HS,"10, 11, 12",41.7513771126,-87.6417311863,1(773)224-2273,11,AUBURN GRESHAM,6,Roderick T. Sawyer
400131,Options,YCCS - CAMPOS,POINT (-87.69600602220713 41.90284969724916),2739 W DIVISION ST,60622,Charter,HS,"10, 11, 12",41.9028496981,-87.6960060222,1(773)342-8022,5,WEST TOWN,26,Roberto Maldonado
400133,Options,YCCS - INNOVATIONS,POINT (-87.62773414585837 41.88304717157979),17 N. STATE ST.,60602,Charter,HS,"10, 11, 12",41.8830471724,-87.6277341458,1(312)999-9360,6,LOOP,42,Brendan M. Reilly
400134,Options,YCCS - ADDAMS,POINT (-87.6448879754817 41.85720785596084),1814 S UNION AVE,60616,Charter,HS,"10, 11, 12",41.8572078568,-87.6448879755,1(312)563-1748,7,LOWER WEST SIDE,11,James A. Balcer
400135,Options,YCCS - LATINO YOUTH,POINT (-87.69543001380885 41.85466465548888),2001 S CALIFORNIA AVE,60608,Charter,HS,"10, 11, 12",41.8546646563,-87.6954300138,1(773)648-2130,7,SOUTH LAWNDALE,12,George A. Cardenas
400136,Options,YCCS - OLIVE HARVEY,POINT (-87.592333202492 41.71292209989564),10001 S WOODLAWN AVE,60628,Charter,HS,"10, 11",41.7129221007,-87.5923332025,1(773)291-6517,12,PULLMAN,8,Michelle A. Harris
400137,Options,LITTLE BLACK PEARL HS,POINT (-87.59933993996285 41.809695495557065),1060 E 47TH ST,60653,Contract,HS,"9, 10, 11, 12",41.8096954964,-87.59933994,1(773)690-5500,9,KENWOOD,4,"William ""Will"" D. Burns"
400139,Options,YCCS - SULLIVAN,POINT (-87.57849166954297 41.746286569880006),8164 S SOUTH CHICAGO AVE,60617,Charter,HS,"10, 11",41.7462865707,-87.5784916695,1(773)978-8680,12,AVALON PARK,8,Michelle A. Harris
400141,Options,YCCS - TRUMAN,POINT (-87.65923928943083 41.965294816271395),1145 W WILSON AVE,60640,Charter,HS,"10, 11, 12",41.9652948171,-87.6592392894,1(773)907-4840,2,UPTOWN,46,James Cappleman
400143,Options,YCCS - WEST TOWN,POINT (-87.70205280026559 41.89080312095962),500 N SACRAMENTO BLVD,60612,Charter,HS,"10, 11",41.8908031218,-87.7020528003,1(312)563-9044,5,HUMBOLDT PARK,27,"Walter Burnett, Jr."
400144,Options,YCCS - WESTSIDE HOLISTIC,POINT (-87.74881028902938 41.90224003146582),4909 W DIVISION ST,60651,Charter,HS,"10, 11, 12",41.9022400323,-87.748810289,1(773)261-0994,3,AUSTIN,37,Emma M. Mitts
400145,Options,YCCS - YOUTH CONNECTION,POINT (-87.62678146982476 41.83207205772944),3424 S STATE ST,60616,Charter,HS,"10, 11, 12",41.8320720585,-87.6267814698,1(312)225-4668,9,DOUGLAS,3,Patricia R. Dowell
400146,Charter,KIPP CHICAGO - CREATE,POINT (-87.74661383938387 41.891816141953214),4818 W OHIO ST,60644,Charter,ES,"5, 6, 7, 8",41.8918161428,-87.7466138394,1(773)938-8553,3,AUSTIN,37,Emma M. Mitts
